status,site_name,street,zip_code,city,country,country_code,latitude,longitude,operator,verified_for_trucks,green_certified,lots_partner,restrooms,food,wifi,card_terminal,truck_parking,showers,truck_wash,google_maps_url,date_when_added_to_list,source,comments,accuracy_score,identification_document
200,MOTOGAS INDUSTRIA DE COMPRESSAO E COMERCIO DE GAS NATURAL LTDA," BR 230 KM 293,  S/N",58706500,PATOS,Brazil,BR,-15.796119,-47.888252,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=MOTOGAS%20INDUSTRIA%20DE%20COMPRESSAO%20E%20COMERCIO%20DE%20GAS%20NATURAL%20LTDA%20%20BR%20230%20KM%20293%2C%20%20S%2FN%20PATOS%20PB,2025-10-29,ANP API v1,,82.0,01420327000509
200,AUTO POSTO NIENKOTTER LTDA,"RODOVIA BR 101 KM 210,  S/N",88104800,SAO JOSE,Brazil,BR,-22.56636,-55.68964,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20NIENKOTTER%20LTDA%20RODOVIA%20BR%20101%20KM%20210%2C%20%20S%2FN%20SAO%20JOSE%20SC,2025-10-29,ANP API v1,,82.0,75459461000550
200,POSTO KALILANDIA LTDA,"RODOVIA BR 324,  S/N",43700000,SIMOES FILHO,Brazil,BR,-8.227145,-36.359906,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20KALILANDIA%20LTDA%20RODOVIA%20BR%20324%2C%20%20S%2FN%20SIMOES%20FILHO%20BA,2025-10-29,ANP API v1,,82.0,15151046001827
200,SIM REDE DE POSTOS LTDA,"RODOVIA BR 101,  4850-A",88317000,ITAJAI,Brazil,BR,-7.901929,-34.901774,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=SIM%20REDE%20DE%20POSTOS%20LTDA%20RODOVIA%20BR%20101%2C%20%204850-A%20ITAJAI%20SC,2025-10-29,ANP API v1,,89.0,07473735007356
200,POSTO DE GNV SERVAUTO II LTDA,"RODOVIA PRESIDENTE DUTRA BR 116,  2560",26031000,NOVA IGUACU,Brazil,BR,-23.204691,-45.883594,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20DE%20GNV%20SERVAUTO%20II%20LTDA%20RODOVIA%20PRESIDENTE%20DUTRA%20BR%20116%2C%20%202560%20NOVA%20IGUACU%20RJ,2025-10-29,ANP API v1,,88.0,10371066000141
200,EXCLUSIVO POSTO E SERVICOS LTDA,"RUA CRUZEIRO DO SUL,  901",24430620,SAO GONCALO,Brazil,BR,-3.717627,-38.56283,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=EXCLUSIVO%20POSTO%20E%20SERVICOS%20LTDA%20RUA%20CRUZEIRO%20DO%20SUL%2C%20%20901%20SAO%20GONCALO%20RJ,2025-10-29,ANP API v1,,87.0,07048271000166
200,POSTO E TRANSPORTADORA DOTH LTDA," BR 304 KM 47,  SN",62800000,ARACATI,Brazil,BR,-15.796119,-47.888252,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20E%20TRANSPORTADORA%20DOTH%20LTDA%20%20BR%20304%20KM%2047%2C%20%20SN%20ARACATI%20CE,2025-10-29,ANP API v1,,86.0,00894481000630
200,SODIC SOCIEDADE REVENDEDORA DE COMBUSTIVEIS LTDA,"RODOVIA BA 526,  S/N",41505220,SALVADOR,Brazil,BR,-12.85614,-38.362667,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=SODIC%20SOCIEDADE%20REVENDEDORA%20DE%20COMBUSTIVEIS%20LTDA%20RODOVIA%20BA%20526%2C%20%20S%2FN%20SALVADOR%20BA,2025-10-29,ANP API v1,,86.0,15847874001047
200,POSTO GUGLIELMI LTDA.,"RODOVIA SC 443,  S/N",88830000,MORRO DA FUMACA,Brazil,BR,-28.63959,-49.11377,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20GUGLIELMI%20LTDA.%20RODOVIA%20SC%20443%2C%20%20S%2FN%20MORRO%20DA%20FUMACA%20SC,2025-10-29,ANP API v1,,84.0,06816506000150
200,POSTO MONTE BELO VII COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR 304,  1010",59280000,MACAIBA,Brazil,BR,-5.873183,-35.316904,VIBRA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20MONTE%20BELO%20VII%20COMERCIO%20DE%20COMBUSTIVEIS%20LTDA%20RODOVIA%20BR%20304%2C%20%201010%20MACAIBA%20RN,2025-10-29,ANP API v1,,87.0,23636359000155
200,AUTO POSTO LUAR DA RIO SANTOS II LTDA,"ESTRADA DO GUANDU ESQ.C/  BR 101,  SN",23560150,RIO DE JANEIRO,Brazil,BR,-15.796119,-47.888252,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20LUAR%20DA%20RIO%20SANTOS%20II%20LTDA%20ESTRADA%20DO%20GUANDU%20ESQ.C%2F%20%20BR%20101%2C%20%20SN%20RIO%20DE%20JANEIRO%20RJ,2025-10-29,ANP API v1,,86.0,11217808000141
200,POSTO ANGICAL COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"RODOVIA RODOVIA BR 324, KM 537,  S/N",44230000,AMELIA RODRIGUES,Brazil,BR,-15.796119,-47.888252,LARCO,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20ANGICAL%20COMERCIO%20DE%20COMBUSTIVEIS%20E%20LUBRIFICANTES%20LTDA%20RODOVIA%20RODOVIA%20BR%20324%2C%20KM%20537%2C%20%20S%2FN%20AMELIA%20RODRIGUES%20BA,2025-10-29,ANP API v1,,86.0,13803355000160
200,ROTA DERIVADOS DE PETROLEO LTDA,"RODOVIA PE009,  S/N",55590000,IPOJUCA,Brazil,BR,-16.05593,-45.142527,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=ROTA%20DERIVADOS%20DE%20PETROLEO%20LTDA%20RODOVIA%20PE009%2C%20%20S%2FN%20IPOJUCA%20PE,2025-10-29,ANP API v1,,86.0,21511490000160
200,REDE HG COMBUSTIVEIS LTDA.,"RODOVIA BR-324,  S/N",41311266,SALVADOR,Brazil,BR,-22.56636,-55.68964,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=REDE%20HG%20COMBUSTIVEIS%20LTDA.%20RODOVIA%20BR-324%2C%20%20S%2FN%20SALVADOR%20BA,2025-10-29,ANP API v1,,87.0,13569064004066
200,ECO POSTO CAXIAS COMBUSTIVEIS LTDA.,"RODOVIA WASHINGTON LUIZ,  12000",25200000,DUQUE DE CAXIAS,Brazil,BR,-22.394066,-43.134158,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=ECO%20POSTO%20CAXIAS%20COMBUSTIVEIS%20LTDA.%20RODOVIA%20WASHINGTON%20LUIZ%2C%20%2012000%20DUQUE%20DE%20CAXIAS%20RJ,2025-10-29,ANP API v1,,86.0,21642192000100
200,PETROX COMERCIAL LTDA,"RODOVIA BR 235,  S/N",49160000,NOSSA SENHORA DO SOCORRO,Brazil,BR,-22.56636,-55.68964,PETROX DISTRIBUIDORA,false,,false,,,,,,,,https://www.google.com/maps?q=PETROX%20COMERCIAL%20LTDA%20RODOVIA%20BR%20235%2C%20%20S%2FN%20NOSSA%20SENHORA%20DO%20SOCORRO%20SE,2025-10-29,ANP API v1,,86.0,05297480000460
